Java HotSpot(TM) 64-Bit Server VM (25.0-b) for bsd-amd64 JRE (1.8.0), built on Mar 12 2024 12:13:12 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(12481232k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseG1GC
2025-10-01T10:08:00.869+0400: [GC (Allocation Failure) 304M->409M(4096M), 0.041 secs]
2025-10-01T10:08:01.885+0400: [GC (Allocation Failure) 344M->409M(4096M), 0.020 secs]
2025-10-01T10:08:02.388+0400: [GC (Allocation Failure) 364M->409M(4096M), 0.012 secs]
2025-10-01T10:08:02.895+0400: [GC (Allocation Failure) 398M->409M(4096M), 0.002 secs]
2025-10-01T10:08:03.906+0400: [Full GC (System.gc()) 474M->409M(4096M), 0.193 secs]
2025-10-01T10:08:04.919+0400: [GC (Allocation Failure) 548M->483M(4096M), 0.038 secs]
2025-10-01T10:08:04.920+0400: [GC (Allocation Failure) 548M->518M(4096M), 0.004 secs]
2025-10-01T10:08:05.929+0400: [GC (Allocation Failure) 610M->564M(4096M), 0.022 secs]
2025-10-01T10:08:06.936+0400: [GC (Allocation Failure) 670M->544M(4096M), 0.074 secs]
2025-10-01T10:08:07.440+0400: [Full GC (System.gc()) 700M->409M(4096M), 0.190 secs]
2025-10-01T10:08:07.460+0400: [GC (Allocation Failure) 700M->173M(4096M), 0.020 secs]
2025-10-01T10:08:07.961+0400: [GC (Allocation Failure) 203M->409M(4096M), 0.048 secs]
2025-10-01T10:08:08.969+0400: [GC (Allocation Failure) 247M->409M(4096M), 0.084 secs]
2025-10-01T10:08:09.983+0400: [GC (Allocation Failure) 285M->409M(4096M), 0.035 secs]
2025-10-01T10:08:09.984+0400: [GC (Allocation Failure) 285M->409M(4096M), 0.041 secs]
2025-10-01T10:08:10.993+0400: [Full GC (System.gc()) 305M->409M(4096M), 0.147 secs]
