Java HotSpot(TM) 64-Bit Server VM (25.0-b) for bsd-amd64 JRE (1.8.0), built on Mar 12 2024 12:13:12 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(12481232k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseG1GC
2025-09-30T23:50:55.938+0400: [GC (Allocation Failure) 76M->409M(4096M), 0.009 secs]
2025-09-30T23:50:56.959+0400: [GC (Allocation Failure) 116M->409M(4096M), 0.025 secs]
2025-09-30T23:50:57.471+0400: [GC (Allocation Failure) 89M->409M(4096M), 0.038 secs]
2025-09-30T23:50:57.973+0400: [GC (Allocation Failure) 109M->409M(4096M), 0.014 secs]
2025-09-30T23:50:58.991+0400: [Full GC (System.gc()) 120M->409M(4096M), 0.379 secs]
2025-09-30T23:51:00.007+0400: [GC (Allocation Failure) 136M->409M(4096M), 0.029 secs]
2025-09-30T23:51:00.007+0400: [GC (Allocation Failure) 136M->409M(4096M), 0.016 secs]
2025-09-30T23:51:01.020+0400: [GC (Allocation Failure) 196M->409M(4096M), 0.013 secs]
2025-09-30T23:51:02.035+0400: [GC (Allocation Failure) 256M->409M(4096M), 0.058 secs]
2025-09-30T23:51:02.541+0400: [Full GC (System.gc()) 230M->409M(4096M), 0.196 secs]
2025-09-30T23:51:02.553+0400: [System.gc() (Allocation Failure) 230M->172M(4096M), 0.012 secs]
2025-09-30T23:51:03.062+0400: [GC (Allocation Failure) 204M->409M(4096M), 0.010 secs]
2025-09-30T23:51:04.073+0400: [GC (Allocation Failure) 259M->409M(4096M), 0.086 secs]
2025-09-30T23:51:05.087+0400: [GC (Allocation Failure) 319M->409M(4096M), 0.005 secs]
2025-09-30T23:51:05.088+0400: [GC (Allocation Failure) 319M->409M(4096M), 0.011 secs]
2025-09-30T23:51:06.100+0400: [Full GC (System.gc()) 304M->409M(4096M), 0.310 secs]
