Java HotSpot(TM) 64-Bit Server VM (25.0-b) for bsd-amd64 JRE (1.8.0), built on Mar 12 2024 12:13:12 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(12481232k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseG1GC
2025-09-30T23:16:41.675+0400: [GC (Allocation Failure) 186M->409M(4096M), 0.017 secs]
2025-09-30T23:16:42.690+0400: [GC (Allocation Failure) 232M->409M(4096M), 0.014 secs]
2025-09-30T23:16:43.197+0400: [GC (Allocation Failure) 266M->409M(4096M), 0.014 secs]
2025-09-30T23:16:43.703+0400: [GC (Allocation Failure) 286M->409M(4096M), 0.019 secs]
2025-09-30T23:16:44.719+0400: [Full GC (System.gc()) 120M->409M(4096M), 0.150 secs]
2025-09-30T23:16:45.732+0400: [GC (Allocation Failure) 178M->409M(4096M), 0.048 secs]
2025-09-30T23:16:45.733+0400: [GC (Allocation Failure) 178M->409M(4096M), 0.011 secs]
2025-09-30T23:16:46.744+0400: [GC (Allocation Failure) 240M->409M(4096M), 0.005 secs]
2025-09-30T23:16:47.757+0400: [GC (Allocation Failure) 300M->409M(4096M), 0.027 secs]
2025-09-30T23:16:48.263+0400: [Full GC (System.gc()) 330M->409M(4096M), 0.291 secs]
2025-09-30T23:16:48.281+0400: [System.gc() (Allocation Failure) 330M->172M(4096M), 0.017 secs]
2025-09-30T23:16:48.788+0400: [GC (Allocation Failure) 204M->409M(4096M), 0.020 secs]
2025-09-30T23:16:49.795+0400: [GC (Allocation Failure) 266M->409M(4096M), 0.037 secs]
2025-09-30T23:16:50.805+0400: [GC (Allocation Failure) 285M->409M(4096M), 0.020 secs]
2025-09-30T23:16:50.805+0400: [GC (Allocation Failure) 285M->409M(4096M), 0.020 secs]
2025-09-30T23:16:51.814+0400: [Full GC (System.gc()) 305M->409M(4096M), 0.152 secs]
