Java HotSpot(TM) 64-Bit Server VM (25.0-b) for bsd-amd64 JRE (1.8.0), built on Mar 12 2024 12:13:12 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(12481232k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseG1GC
2025-09-30T22:57:34.061+0400: [GC (Allocation Failure) 338M->409M(4096M), 0.008 secs]
2025-09-30T22:57:35.073+0400: [GC (Allocation Failure) 235M->409M(4096M), 0.012 secs]
2025-09-30T22:57:35.576+0400: [GC (Allocation Failure) 273M->409M(4096M), 0.049 secs]
2025-09-30T22:57:36.082+0400: [GC (Allocation Failure) 295M->409M(4096M), 0.015 secs]
2025-09-30T22:57:37.092+0400: [Full GC (System.gc()) 337M->409M(4096M), 0.281 secs]
2025-09-30T22:57:38.111+0400: [GC (Allocation Failure) 173M->409M(4096M), 0.010 secs]
2025-09-30T22:57:38.111+0400: [GC (Allocation Failure) 173M->409M(4096M), 0.024 secs]
2025-09-30T22:57:39.124+0400: [GC (Allocation Failure) 233M->409M(4096M), 0.010 secs]
2025-09-30T22:57:40.136+0400: [GC (Allocation Failure) 293M->409M(4096M), 0.011 secs]
2025-09-30T22:57:40.640+0400: [Full GC (System.gc()) 325M->409M(4096M), 0.224 secs]
2025-09-30T22:57:40.654+0400: [System.gc() (Allocation Failure) 325M->174M(4096M), 0.013 secs]
2025-09-30T22:57:41.160+0400: [GC (Allocation Failure) 206M->409M(4096M), 0.012 secs]
2025-09-30T22:57:42.165+0400: [GC (Allocation Failure) 266M->409M(4096M), 0.045 secs]
2025-09-30T22:57:43.184+0400: [GC (Allocation Failure) 288M->409M(4096M), 0.017 secs]
2025-09-30T22:57:43.186+0400: [GC (Allocation Failure) 288M->409M(4096M), 0.009 secs]
2025-09-30T22:57:44.191+0400: [Full GC (System.gc()) 304M->409M(4096M), 0.252 secs]
